historic_aircraft,237,18
man_made_groyne,238,18
shop_bed,239,17
healthcare_optometrist,240,17
amenity_biergarten,241,17
shop_shoe_repair,242,17
natural_yes,243,17
tourism_guest_house,244,17
leisure_fitness_station,245,17
shop_pawnbroker,246,17
leisure_outdoor_seating,247,17
amenity_coworking_space,248,16
shop_tailor,249,16
shop_antiques,250,16
shop_appliance,251,16
craft_caterer,252,15
shop_photo,253,15
shop_kitchen,254,15
healthcare_psychotherapist,255,15
healthcare_laboratory,256,15
amenity_clock,257,15
shop_pet_grooming,258,15
shop_ticket,259,15
amenity_driving_school,260,15
leisure_stadium,261,15
man_made_breakwater,262,15
landuse_religious,263,15
shop_outdoor,264,14
natural_cliff,265,14
amenity_stripclub,266,14
shop_garden_centre,267,14
shop_interior_decoration,268,14
shop_tea,269,14
amenity_fortune_teller,270,14
shop_travel_agency,271,14
leisure_firepit,272,14
shop_wholesale,273,13
office_it,274,13
shop_musical_instrument,275,13
shop_bag,276,13
craft_photographer,277,13
amenity_waste_disposal,278,13
leisure_ice_rink,279,13
toilets_yes,280,13
club_ethnic,281,13
shop_printing,282,13
natural_grassland,283,13
natural_strait,284,13
amenity_prison,285,12
amenity_townhall,286,12
shop_religion,287,12
shop_motorcycle,288,12
shop_party,289,12
office_coworking,290,12
office_financial,291,12
man_made_crane,292,12
man_made_works,293,12
man_made_beacon,294,12
office_educational_institution,295,11
amenity_public_building,296,11
amenity_dancing_school,297,11
office_construction,298,11
club_sport,299,11
craft_glaziery,300,11
man_made_pole,301,11
amenity_bicycle_repair_station,302,11
amenity_boat_rental,303,11
leisure_dance,304,11
craft_jeweller,305,11
shop_baby_goods,306,10
shop_herbalist,307,10
club_veterans,308,10
natural_stone,309,10
shop_cannabis,310,10
landuse_allotments,311,10
historic_ship,312,10
landuse_traffic_island,313,10
historic_cannon,314,9
amenity_bureau_de_change,315,9
shop_carpet,316,9
amenity_money_transfer,317,9
amenity_language_school,318,9
craft_electronics_repair,319,9
tourism_theme_park,320,9
healthcare_podiatrist,321,9
amenity_swimming_pool,322,8
leisure_hackerspace,323,8
craft_electrician,324,8
office_tutoring,325,8
leisure_recreation_ground,326,8
craft_brewery,327,8
historic_ruins,328,8
man_made_antenna,329,8
amenity_amenity|ice_cream,330,8
landuse_churchyard,331,8
leisure_common,332,7
shop_health_food,333,7
office_bail_bond_agent,334,7
shop_erotic,335,7
craft_carpenter,336,7
craft_bakery,337,7
office_newspaper,338,7
leisure_miniature_golf,339,7
leisure_bowling_alley,340,7
shop_fashion,341,7
shop_watches,342,7
craft_window_construction,343,7
amenity_social_centre,344,7
landuse_greenfield,345,7
leisure_nature_reserve,346,7
landuse_basin,347,7
covered_building_passage,348,7
man_made_gasometer,349,7
leisure_water_park,350,6
shop_lighting,351,6
leisure_sauna,352,6
office_employment_agency,353,6
amenity_prep_school,354,6
amenity_animal_shelter,355,6
shop_video,356,6
shop_sewing,357,6
office_energy_supplier,358,6
office_religion,359,6
historic_manor,360,6
shop_military_surplus,361,6
man_made_wastewater_plant,362,6
landuse_Community Garden,363,6
shop_bridal,364,5
shop_medical_supply,365,5
amenity_spa,366,5
craft_pottery,367,5
club_yes,368,5
shop_leather,369,5
shop_fashion_accessories,370,5
amenity_music_venue,371,5
leisure_fishing,372,5
bicycle_parking_rack,373,5
shop_window_blind,374,5
office_consulting,375,5
shop_car_rental,376,5
historic_technical_monument,377,5
amenity_loading_dock,378,5
craft_upholsterer,379,5
shop_electrical,380,5
healthcare_midwife,381,5
shop_money_transfer,382,5
man_made_smoke_stack,383,5
historic_fort,384,5
landuse_farmland,385,5
natural_scree,386,5
man_made_water_tower,387,4
landuse_reservoir,388,4
club_social,389,4
man_made_lighthouse,390,4
craft_confectionery,391,4
craft_optician,392,4
healthcare_dialysis,393,4
craft_printer,394,4
office_charity,395,4
office_private_investigator,396,4
office_advertising_agency,397,4
shop_cheese,398,4
atm_no,399,4
shop_bathroom_furnishing,400,4
memorial_statue,401,4
craft_distillery,402,4
tourism_chalet,403,4
amenity_binoculars,404,4
sport_boxing,405,4
amenity_meditation_centre,406,4
office_administrative,407,4
craft_gardener,408,4
office_foundation,409,4
leisure_golf_course,410,4
office_politician,411,4
office_parish,412,4
shop_hairdresser_supply,413,4
tourism_zoo,414,4
man_made_sidewalk_grate,415,4
historic_helicopter,416,4
sport_motor,417,4
landuse_military,418,4
man_made_planter,419,4
office_telecommunication,420,3
shop_hearing_aids,421,3
amenity_compressed_air,422,3
leisure_escape_room,423,3
office_physician,424,3
shop_camera,425,3
office_therapist,426,3
